CompetencyID,Category,Text,ReferenceCode,What this means,What it looks like,Why critical
G01,General Competencies,Working as an effective team member.,"•        Responsibilities of Apprentice to Sponsor | Saw Filer 1, 1-2-5 to 1-2-6
•        Saw Filer Duties and Team Coordination | Saw Filer 1, 1-1-2
•        Filing Room Role in Shift Continuity | Saw Filer 1, 1-2-4","A saw filer is part of a larger production team that includes supervisors, millwrights, operators, electricians, and fellow filers across different shifts. Being an effective team member means maintaining clear communication, supporting smooth shift transitions, working collaboratively, and upholding shared shop responsibilities. It also includes fulfilling your duties to your sponsor and actively participating in your apprenticeship obligations.","•        You coordinate with the incoming and outgoing filer about the current condition of saws, changes in strain or alignment, upcoming saw changes, and any issues observed during operation.
•        You record all issues or unusual conditions (e.g., vibration, gullet cracks, premature dulling, etc.) in shift logs or communication books, if in use.
•        You follow site-specific communication protocols such as tagging saws, labeling saws as out-of-service, or notifying supervisors when a saw or guide is awaiting repair or setup.
•        You assist other trades, especially millwrights, when removing, installing, or aligning saws—providing details like direction of lead, prior setup details, or vibration concerns.
•        You fulfill your obligations to your sponsor by checking in regularly, reviewing progress, and ensuring your hours and logbook entries are up to date.
•        You are present during shift handovers, and you ensure continuity by briefing the next filer on incomplete work, saw setup status, or known troubleshooting.
","Filing rooms operate continuously across shifts, and saws are only one component in a multi-step cutting system. If communication breaks down, saws may be installed incorrectly, worn tools may be reused, or safety procedures may be skipped. Miscommunication leads to downtime, unsafe conditions, lumber defects, and avoidable delays in production. Team-based awareness, accurate documentation, and proactive communication are core to the professional standards of a certified filer."
G02,General Competencies,Attention to detail and ability to focus.,"•	Importance of Saw Flatness, Tension Zones, and Inspection Accuracy
Saw Filer 1, Section 3-2-1 to 3-2-3
•	Crack Inspection and Tolerance Limits
Saw Filer 1, Section 6-8-2
•	Bench Work and Quality Inspection Expectations
Saw Filer 1, Section 7-1-1
•	Saw Flatness Maximum Deviation: 0.002”
Saw Filer 1, Section 13-1-1
","Precision is the cornerstone of all filing work. A journeyperson saw filer is expected to maintain microscopic accuracy during measurement, inspection, welding, grinding, and alignment procedures. This competency also requires sustained mental focus, even during repetitive or late-shift tasks. Attention to detail is not optional—it is a safety requirement. You must catch variations as small as 0.002"" and respond with the correct technique and tool.
📏 Flatness tolerances under 0.002"" are used when inspecting for saw dish. Even a dish of 0.002"" must be corrected before tensioning.
📚 Saw Filer 1, Section 13-1-1","•        When leveling a saw, you detect and correct a 0.002"" dish using a certified straightedge and correct hammering technique.
•        During tensioning, you observe the symmetry and integrity of the tension ring using proper back gauge placement and drop test verification, ensuring uniformity before any saw is cleared for service.
•        When using a micrometer or dial indicator, you:
o        Double-check readings for consistency
o        Clean both the saw surface and the measuring tool
o        Confirm tool calibration or report immediately if suspect
•        During blade inspections, you maintain full focus—even when inspecting the third or fourth band of a shift—to ensure:
o        No gullet cracks, heat tint, or metal fatigue is missed
o        The saw body shows no signs of warping, twist, or abnormal wear
•        When regrinding a tooth, you:
o        Compare the result directly to a known-good profile
o        Use templates and cam settings to confirm accuracy rather than assuming angles are correct
","The filing trade deals in thousandths of an inch. A misaligned saw, under-tensioned plate, or grind angle off by even 1° can cause:
•	Blade wobble, snaking, or cracking
•	Excess heat and gullet fatigue
•	Misaligned cuts or lumber defects
•	Damage to bearings, guides, or collars
•	Personal injury from ejected parts or unexpected failure
Your vigilance prevents cascading errors that can cause downtime, reduce tool life, and compromise safety. A saw that “looks fine” may still fail at 10,000 FPM. You are the final line of defense."
G03,General Competencies,Active participation in learning process.,"•	Apprentice Responsibilities and Mentor Interaction
Saw Filer 1, Sections 1-2-4 to 1-2-6
•	Importance of Hands-on Learning and Self-tracking
Saw Filer 1, Section 1-2-3","🔧 What this means:
Apprenticeship in the saw trades is not passive—it requires full engagement in both hands-on and technical learning. You are expected to take ownership of your development by staying involved in every aspect of the training process. This means participating actively in shop tasks, seeking clarification when needed, and tracking your skill progression using the ETA 671 Work Process Schedule (Saw Filer Competency Log).
Your mentor plays a critical role in shaping your training—but it is your responsibility to follow through, ask questions, and pursue improvement. Filing is learned by doing, and every task you complete should move you closer to becoming a safe, skilled tradesperson.","•	You bring your ETA 671 Work Process Schedule (Saw Filer Competency Log) to evaluations and:
o	Ensure entries are up to date with clear descriptions of completed tasks
o	Obtain proper sign-off from your mentor based on direct observation
o	Use the log to guide what skills you still need exposure to
•	You engage your mentor with relevant, job-specific questions, such as:
o	“What’s the best way to check for tight zones in this tension ring?”
o	“Should I swage before or after confirming kerf width with the gauge?”
o	“Is this crown profile correct for the feed rate we’re running?”
•	You request to repeat high-skill procedures or shadow others performing them, including:
o	Crack welding and annealing
o	Tensioning with stretcher rolls
o	Knife balancing and babbitting
o	Swaging and shaping under species-specific tolerances
•	You take responsibility for your classroom learning by:
o	Registering for technical training well in advance
o	Coordinating your schedule with your mentor and supervisor
o	Bringing current shop experiences and questions into the classroom for discussion
•	You actively track your hours and performance, using your log to:
o	Identify weak areas or incomplete competencies
o	Measure progress toward certification goals
o	Organize questions and tasks for review with your mentor","Saw filing cannot be learned by standing and watching. Many of the most important skills—tensioning, leveling, grinding geometry, safe handling—require hundreds of repetitions to master. Apprentices who do not ask questions or seek out new tasks tend to fall behind or develop unsafe habits. A passive approach delays your certification and places the burden on your mentor to chase your development.
In contrast, a filer who participates actively builds:
•	Technical confidence
•	Reliable habits under pressure
•	A complete training record
•	Trust and credibility with their team
If you don’t ask, you don’t learn."
G04,General Competencies,Shares ideas.,"•	Filing Room Collaboration and Process Improvement
Saw Filer 1, Section 1-2-4
•	Communication with Other Trades and Team Roles
Saw Filer 1, Sections 1-2-5 to 1-2-6","A skilled filer is not only a technician but a problem solver and contributor to shop improvement. Sharing ideas means voicing observations that can prevent damage, reduce waste, improve workflow, or enhance safety. Whether it's a small adjustment to a tagging system or a technical insight about guide pressure, your input helps optimize the operation. This is especially important during shift changes, saw troubleshooting, or when testing new setups.
As a professional, your role includes offering constructive, evidence-based suggestions, regardless of your level of experience. Apprentices who speak up respectfully build trust and show a genuine commitment to the trade.","•        You identify that a grinding wheel is wearing unevenly, and recommend replacement before it causes improper tooth geometry, excessive heat, or vibration.
•        You notice that the saw storage rack has bent hooks, and explain how it could warp saws, recommending realignment or replacement.
•        You suggest introducing a visual tagging system using magnets, flags, or color codes to clearly mark:
o        Saws that are tensioned and ready
o        Saws awaiting weld inspection
o        Saws tagged out due to damage or imbalance
•        You observe that increasing table travel speed during knife grinding reduced heat tint, and demonstrate the result to your mentor or crew.
•        You report a recurring issue on the edger, pointing out that guide bolts may be backing off or misaligned—prompting an adjustment that prevents further defects.
•        During a team install, you suggest reviewing back gauge measurements due to unexpected tracking on the previous shift—leading to correction of a strain offset.
These are just a few examples.","❗ Why this is critical:
Filers are closest to the tools, the saws, and the real-time issues that impact performance and safety. No one sees everything, and a single overlooked issue—like a dull grinder, untagged saw, or guide slip—can lead to:
•	Unsafe equipment being reinstalled
•	Wasted lumber or machine damage
•	Excess vibration, bearing failure, or saw ejection
•	Loss of time and credibility across shifts
Shops that welcome suggestions run smarter and safer. By sharing your ideas, you:
•	Build trust with your mentor and coworkers
•	Reinforce a culture of accountability
•	Help prevent breakdowns before they happen
•	Show leadership in your approach to filing"
DSWP01,Demonstrate Safe Work Practices,Explain proper PPE.,"•	Personal Apparel & Safety Equipment
Saw Filer 1, Sections 2-1-1 to 2-1-12
•	Knife Safety & Glove Standards
Saw Filer 1, Sections 8-1-1 to 8-1-2
•	Hearing Protection Requirements
Saw Filer 1, Section 2-1-7","Personal Protective Equipment (PPE) is not just a company policy—it’s a legal requirement and a critical barrier between you and high-risk hazards in the filing room. Grinders, wheels, compressed air, heavy saws, and knife handling all expose you to sharp edges, fast-moving machinery, flying debris, and noise. Wearing the correct PPE at all times reduces the risk of permanent injury, even death.
PPE is job-specific. You must know which PPE applies to which task and wear it every time—not just when reminded.","•	You wear CSA-approved safety glasses or a full face shield:
o	When grinding saws, dressing wheels, or cleaning with compressed air
o	Any time you’re exposed to sparks, debris, or flying grit
•	You wear grip-rated gloves (rubberized or cloth with friction surface):
o	When handling chipper knives, especially when oily or wet
o	You avoid leather gloves for knives—they become slippery and dangerous when wet
•	You use hearing protection:
o	In all zones rated over 85 dB, with a preference for NRR 25 or higher in chainsaw and grinder areas
o	You keep extra pairs accessible and stored in clean cases
•	When working at height (e.g., lowering circular saws from an overhead rack), you:
o	Use a fall restraint system rated for 5,000 lbs
o	Ensure your lanyard and snap hooks are anchored properly before beginning the lift
•	You do not wear:
o	Loose clothing or untied coveralls
o	Jewelry, chains, or rings
o	Unrestrained long hair around moving tools or shaft-driven machinery","Saw shops are high-risk environments. Grinders can explode, saws can spring back, knives can slip, and contact with rotating equipment can lead to:
•	Lacerations
•	Eye injuries or blindness
•	Crushed fingers or broken bones
•	Hearing loss
•	Fatal entanglement injuries
PPE is your first line of defense, but only if used consistently and correctly. It must also be maintained, inspected, and fitted properly to be effective"
DSWP02,Demonstrate Safe Work Practices,Demonstrate safe handling of knives and saws.,"•	Knife Handling & Cart Use
Saw Filer 1, Sections 8-1-1 to 8-1-2
•	Circular Saw Handling Procedures
Saw Filer 2, Section 9-1-2
•	Saw Disposal Rules
Saw Filer 1, Section 2-2-13","Saws and knives are sharp, heavy, and under mechanical stress. Improper handling—even for a few seconds—can result in serious lacerations, back injuries, or permanent disability. Safe handling includes lifting, transporting, flipping, and disposing of all blades according to your site’s safety policies and the instructions outlined in the Saw Filer 1 training guide.
This competency ensures you handle every blade with respect, using proper technique, safe tools, and full awareness of your surroundings. There are no shortcuts when it comes to moving sharp steel.","•        You handle one chipper knife at a time, always using:
o        Approved knife carts or knife boxes in good condition
o        Secure lids and handles when transporting between stations
•        When flipping a bandsaw, you:
o        Stand on the non-tooth (back) side
o        Use both hands with clear communication if working with a partner
o        Ensure there’s adequate room—no flips near grinders, walls, or machinery
•        You never carry multiple saws by hand:
o        You use a cart or hoist system for bandsaws and circular saws
o        You ensure the weight is balanced and the path is clear
•        When handling large circular saws (250+ lbs):
o        You inspect all hoisting gear first (hooks, slings, chains, anchors)
o        You follow a Job Safety Analysis (JSA) if your site requires one for overhead or crane lifts
•        For disposal of worn saws:
o        You do not coil bandsaws for disposal due to spring hazard
o	Instead, cut them into short segments and place them in designated steel disposal bins","❗ Why this is critical:
Saws and knives are designed to cut wood at thousands of feet per minute—and they don’t know the difference between wood and skin. Injuries from saw handling include:
•	Deep cuts or amputations from sharp edges
•	Strained backs or shoulders from improper lifting
•	Crushed toes from dropped circulars or racks
•	Head and eye injuries from springing or coiling saws
Improper handling also leads to damaged saws—a bent band or dropped plate may become unusable or dangerous in operation. This creates costly downtime, poor cutting performance, and serious safety concerns for others on the team."
DSWP03,Demonstrate Safe Work Practices,Demonstrate proper utilization of equipment.,"•	Grinder and Tool Safety
Saw Filer 1, Sections 2-1-10 to 2-1-12
•	Lockout & Energy Isolation Procedures
Saw Filer 1, Section 2-1-8","Proper use of saw shop equipment is about more than just knowing how to turn on a grinder—it’s about respecting safety systems, following lockout protocols, and operating each machine within its safe parameters. Every piece of equipment in the filing room—from grinders to welders to chipper heads—comes with mechanical risks. Misuse can result in injury, equipment damage, or incorrect saw geometry that leads to catastrophic saw failure in the mill.
This competency demands that you never bypass safeguards, always verify machine readiness, and match your tools to the job and material type.","•	You never bypass or disable:
o	Grinder guards, hoods, or shields
o	Emergency stop buttons
o	Interlocks or limit switches on filing room machines
•	You always follow lockout/tagout procedures before servicing equipment:
o	Apply your personal lock on both electrical and mechanical isolation points
o	Test for zero energy before beginning service
o	Ensure no other personnel can accidentally re-energize the system
•	Before operating a grinder, you:
o	Inspect the grinding wheel for cracks, glazing, or uneven wear
o	Confirm that the wheel speed rating (RPM) matches or exceeds the grinder’s rated speed
o	Check that the wheel is mounted with correct flange pressure and without overtightening
•	You confirm safe operation of power and pneumatic tools by:
o	Checking cords and hoses for splits, kinks, or leaks
o	Testing switches and emergency shutoffs
o	Verifying that tool mounts, clamps, and guards are secure
•	When using a drill press, grinder, or machining tool:
o	You never hold parts by hand
o	You always use vises, clamps, or fixtures rated for the task
o	You wear appropriate PPE and secure long sleeves or hair to prevent entanglement","The vast majority of shop injuries and equipment failures occur when:
•	Safety guards are removed
•	Lockout procedures are skipped
•	Untrained users operate high-speed equipment without inspection
Improper tool usage can:
•	Send grinding wheels flying apart at 9,000+ RPM
•	Crack saw plate due to overheating or incorrect tension
•	Cause fires from overheated motors or coolant leaks
•	Result in cuts, crushes, or amputations from entanglement or tool recoil
Respecting every piece of equipment in the shop—and its built-in safety systems—is non-negotiable. A moment’s inattention can lead to permanent injury or a damaged saw that fails in the mill under load."
DSWP04,Demonstrate Safe Work Practices,Properly store and maintain equipment and tools.,"•	Tool Storage and Handling
Saw Filer 1, Sections 2-1-9 to 2-1-11
•	Knife & Saw Storage Practices
Saw Filer 1, Section 2-2-13","🔧 What this means:
Filing tools are high-precision instruments that require proper care, storage, and routine maintenance to remain accurate and safe to use. When tools like micrometers, tension gauges, files, and saw dressing tools are mishandled or stored incorrectly, they lose calibration, become contaminated, or fail without warning. Tool storage and care is not just about tidiness—it’s about maintaining filing accuracy, protecting your safety, and extending the life of both hand tools and heavy equipment.
You’re responsible for ensuring every tool you use is:
•	Clean
•	Accurate
•	Stored in the correct location
•	Free from damage","•	You return all hand tools to labeled drawers, foam-lined cases, or shadow boards after use:
o	You never leave files, hammers, or measuring tools on benches, saw carts, or grinder housings
•	You store measuring instruments (micrometers, dial indicators, back gauges) in:
o	Foam-lined or cushioned containers
o	Dry and sealed locations free from dust and temperature extremes
•	You maintain cutting tools (e.g., chisels, files, stones) by:
o	Keeping them oiled, dressed, and stored with edge protection
o	Reporting and tagging any cracked handles, burrs, or mushroomed heads
•	You use tool-specific storage systems, including:
o	Cardboard or leather file sleeves
o	Knife trays with individual slots
o	Divider bins for swaging dies and shaping cams
•	You do not mix layout and striking tools in drawers with precision equipment
•	You ensure coolant systems, grinders, and tensioning tools are:
o	Cleaned at the end of each shift
o	Logged for maintenance if vibration, play, or imbalance is detected
o	Lubricated and calibrated on the schedule set by your shop or mentor","A damaged tool makes damaged saws. When filing tools are left dirty, dented, or out of alignment:
•	You lose measurement accuracy
•	Your tension or leveling work is flawed
•	Grinders run unbalanced, producing heat damage or incorrect tooth geometry
•	Sharp edges left exposed can cut you or your co-workers during routine shop movement
Proper tool storage and care ensures:
•	Faster, safer workflows
•	Better communication between shifts
•	Maximum tool life
•	Consistency in saw performance and safety inspections
It also shows professionalism and pride in your work—two traits expected of every certified saw filer."
DSWP05,Demonstrate Safe Work Practices,Understands and exhibits proper housekeeping.,"•	Filing Room Housekeeping Rules
Saw Filer 1, Section 2-1-1
•	Cleaning Protocols & Safe Surfaces
Saw Filer 1, Sections 2-1-9 to 2-1-12","A clean and organized filing room is not just a sign of professionalism—it’s a critical component of shop safety, workflow efficiency, and tool accountability. Saw filing environments involve metal shavings, grinding dust, oils, solvents, and sharp tools. Without proper housekeeping, these materials create slip hazards, fire risks, tool damage, and lost time. This competency involves understanding how and when to clean, what to clean with, and maintaining shared areas to prevent hazards before they occur.
Filing is a trade of precision—your bench and work habits should reflect that precision.
","•	You sweep or vacuum your workstation, grinder area, and babbitting station after each task—not just at the end of shift
o	You remove filings, gullet dust, and coolant residue that can interfere with measurement and inspection
•	You dispose of rags used with oil, solvent, or flammable material in fire-rated bins with self-closing lids
o	You report spills immediately—whether it’s oil, coolant, or grinding slurry—and use absorbent pads or spill kits
•	You keep all walkways, platforms, and saw carts free of debris:
o	No hoses, tools, or personal items are left in traffic zones
o	You tuck cords away or secure them overhead where applicable
•	You store sharp tools with guards or in trays—not on benches or carts where others can contact them unexpectedly
o	This includes files, tooth gauges, swaging dies, and scrap saws
•	You regularly clean:
o	Bench surfaces and toolboxes
o	Tensioning equipment and measurement stations
o	Coolant tanks, filter screens, and waste trays
•	You reset shared work areas after use:
o	Tools are returned
o	Labels are clear
o	Blades are either tagged or ready for service","Filing rooms contain flammable materials, sharp objects, hot metals, and high-speed tools. Poor housekeeping creates:
•	Slips, trips, and falls from coolant, rags, or grinding dust
•	Cuts or punctures from exposed sharp tools
•	Fire hazards from oil-soaked rags left on benches
•	Tool loss and miscommunication across shifts
•	Time wasted locating tools or cleaning up after others
Proper housekeeping ensures that your safety, saw quality, and work efficiency remain intact. It also shows professionalism and respect for your crew—two qualities that define the top filers in the trade"
DSWP06,Demonstrate Safe Work Practices,Babbitt safety.,"•	Babbitt Safety Procedures and PPE
Saw Filer 1, Sections 2-1-1, 2-1-9
•	Lead Handling and Molten Metal Pouring
Saw Filer 1, Section 9-6-3","Babbitting involves pouring molten metal at temperatures often exceeding 600°F (315°C) to create bearing surfaces. This is one of the most hazardous tasks in saw maintenance due to the risks of splash burns, inhalation of lead fumes, and explosive reactions with moisture. Safe babbitting requires full PPE, properly maintained equipment, and strict control over temperature, ventilation, and cleanliness.
The goal is to produce precise, defect-free babbitt surfaces—without exposing yourself or others to unnecessary danger.","•	You inspect the pouring area for:
o	Dry surfaces (no moisture on molds or equipment)
o	Clean workspace with no rags, sawdust, or oil nearby
o	Properly secured ladles and holders
•	You wear all required PPE:
o	Face shield over safety glasses
o	Heat-resistant gloves rated for molten metal
o	Flame-resistant coveralls or apron
o	Respirator when using lead-based or zinc-based babbitt in poorly ventilated areas
•	You preheat molds and parts to avoid steam explosions:
o	Use a torch or oven to bring molds to safe casting temperature
o	You never pour molten babbitt into cold or wet parts
•	You control pouring temperature using a thermometer:
o	Target range is 475°F–625°F, depending on alloy
o	You skim off dross (oxidized impurities) before pouring
•	After pouring:
o	You allow parts to cool under supervision
o	You clean up any spills using proper disposal methods
o	You never quench hot babbitt in water or oil","Improper babbitting causes:
•	Burns and flash injuries from molten metal splash
•	Toxic fume inhalation, especially from lead- or cadmium-containing alloys
•	Explosive reactions if poured into moist surfaces
•	Cracked, porous, or delaminated bearings that fail under load
Good babbitt work produces safe, clean bearing fits and guide pads. Unsafe babbitt handling endangers you, your crew, and the shop.
"
